Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,1081.150024,1094.750000,1066.640015,1084.589966,1084.589966,18087700
2022-04-04,1089.380005,1149.910034,1072.530029,1145.449951,1145.449951,27345300
2022-04-05,1136.300049,1152.869995,1087.300049,1091.260010,1091.260010,26691700
2022-04-06,1073.469971,1079.000000,1027.699951,1045.760010,1045.760010,29782800
2022-04-07,1052.390015,1076.589966,1021.539978,1057.260010,1057.260010,26482400
2022-04-08,1043.209961,1048.439941,1022.440002,1025.489990,1025.489990,18337900
2022-04-11,980.400024,1008.469971,974.640015,975.929993,975.929993,19785700
2022-04-12,997.640015,1021.190002,976.599976,986.950012,986.950012,21992000
2022-04-13,981.080017,1026.239990,973.099976,1022.369995,1022.369995,18373700
2022-04-14,999.289978,1012.710022,982.190002,985.000000,985.000000,19474100
2022-04-18,989.030029,1014.919983,973.409973,1004.289978,1004.289978,17238400
2022-04-19,1005.059998,1034.939941,995.330017,1028.150024,1028.150024,16615900
2022-04-20,1030.000000,1034.000000,975.250000,977.200012,977.200012,23570400
2022-04-21,1074.729980,1092.219971,996.419983,1008.780029,1008.780029,35138800
2022-04-22,1014.909973,1034.849976,994.000000,1005.049988,1005.049988,23232200
2022-04-25,978.969971,1008.619995,975.299988,998.020020,998.020020,22780400
2022-04-26,995.429993,1000.000000,875.000000,876.419983,876.419983,45377900
2022-04-27,898.580017,918.000000,877.359985,881.510010,881.510010,25652100
2022-04-28,899.979980,900.000000,821.700012,877.510010,877.510010,41649500
2022-04-29,902.250000,934.400024,870.000000,870.760010,870.760010,29313400
